KO	Quantification (KEGGCharter)	Taxon (KEGGCharter)	EC (ko-column)	KO (ko-column)	KO (KEGGCharter)	EC number (KEGGCharter)
K00524	1	Prochlorococcus	1.17.4.2	K00524,K00527	K00527	1.17.4.2
K00537	1	Prochlorococcus	1.20.4.1	K00537,K18065,K22547	K00537	1.20.4.1
K00537	1	Prochlorococcus	1.20.4.1	K00537,K18065,K22547	K18065	1.20.4.1
K00537	1	Prochlorococcus	1.20.4.1	K00537,K18065,K22547	K22547	1.20.4.1
K00548	1	Prochlorococcus	2.1.1.13	K00548,K24042	K00548	2.1.1.13
K00548	1	Prochlorococcus	2.1.1.13	K00548,K24042	K24042	2.1.1.13
K00554	1	Prochlorococcus	2.1.1.228	K00554,K15429	K00554	2.1.1.228
K00554	1	Prochlorococcus	2.1.1.228	K00554,K15429	K15429	2.1.1.228
K00556	1	Prochlorococcus	2.1.1.34	K00556,K15333	K00556	2.1.1.34
K00556	1	Prochlorococcus	2.1.1.34	K00556,K15333	K15333	2.1.1.34
K00566	1	Prochlorococcus	2.8.1.13	K00566	K00566	2.8.1.13
K00595	1	Prochlorococcus	2.1.1.132,2.1.1.289,2.1.1.196	K00595,K00595,K02191,K00595,K03399	K00595	2.1.1.132,2.1.1.196,2.1.1.289
K00595	1	Prochlorococcus	2.1.1.132,2.1.1.289,2.1.1.196	K00595,K00595,K02191,K00595,K03399	K02191	2.1.1.132,2.1.1.196,2.1.1.289
K00595	1	Prochlorococcus	2.1.1.132,2.1.1.289,2.1.1.196	K00595,K00595,K02191,K00595,K03399	K03399	2.1.1.132,2.1.1.196,2.1.1.289
K00600	1	Prochlorococcus	2.1.2.1	K00600	K00600	2.1.2.1
K00602	1	Prochlorococcus	2.1.2.3,3.5.4.10	K00602,K11176,K00602,K01492	K00602	2.1.2.3,3.5.4.10
K00602	1	Prochlorococcus	2.1.2.3,3.5.4.10	K00602,K11176,K00602,K01492	K01492	2.1.2.3,3.5.4.10
K00602	1	Prochlorococcus	2.1.2.3,3.5.4.10	K00602,K11176,K00602,K01492	K11176	2.1.2.3,3.5.4.10
K00604	1	Prochlorococcus	2.1.2.9	K00604	K00604	2.1.2.9
K00605	1	Prochlorococcus	2.1.2.10	K00605	K00605	2.1.2.10
K00606	1	Prochlorococcus	2.1.2.11	K00606	K00606	2.1.2.11
K00609	1	Prochlorococcus	2.1.3.2	K00608,K00609,K11540,K11541	K00608	2.1.3.2
K00609	1	Prochlorococcus	2.1.3.2	K00608,K00609,K11540,K11541	K00609	2.1.3.2
K00609	1	Prochlorococcus	2.1.3.2	K00608,K00609,K11540,K11541	K11540	2.1.3.2
K00609	1	Prochlorococcus	2.1.3.2	K00608,K00609,K11540,K11541	K11541	2.1.3.2
K00611	1	Prochlorococcus	2.1.3.3	K00611	K00611	2.1.3.3
K00612	1	Prochlorococcus			K00612	
K00615	1	Prochlorococcus	2.2.1.1	K00615	K00615	2.2.1.1
K00616	1	Prochlorococcus	2.2.1.2	K00616,K13810	K00616	2.2.1.2
K00616	1	Prochlorococcus	2.2.1.2	K00616,K13810	K13810	2.2.1.2
K00620	1	Prochlorococcus	2.3.1.35,2.3.1.1	K00618,K00619,K00620,K11067,K14681,K14682,K22476,K22477,K22478,K00620	K00618	2.3.1.1,2.3.1.35
K00620	1	Prochlorococcus	2.3.1.35,2.3.1.1	K00618,K00619,K00620,K11067,K14681,K14682,K22476,K22477,K22478,K00620	K00619	2.3.1.1,2.3.1.35
K00620	1	Prochlorococcus	2.3.1.35,2.3.1.1	K00618,K00619,K00620,K11067,K14681,K14682,K22476,K22477,K22478,K00620	K00620	2.3.1.1,2.3.1.35
K00620	1	Prochlorococcus	2.3.1.35,2.3.1.1	K00618,K00619,K00620,K11067,K14681,K14682,K22476,K22477,K22478,K00620	K11067	2.3.1.1,2.3.1.35
K00620	1	Prochlorococcus	2.3.1.35,2.3.1.1	K00618,K00619,K00620,K11067,K14681,K14682,K22476,K22477,K22478,K00620	K14681	2.3.1.1,2.3.1.35
K00620	1	Prochlorococcus	2.3.1.35,2.3.1.1	K00618,K00619,K00620,K11067,K14681,K14682,K22476,K22477,K22478,K00620	K14682	2.3.1.1,2.3.1.35
K00620	1	Prochlorococcus	2.3.1.35,2.3.1.1	K00618,K00619,K00620,K11067,K14681,K14682,K22476,K22477,K22478,K00620	K22476	2.3.1.1,2.3.1.35
K00620	1	Prochlorococcus	2.3.1.35,2.3.1.1	K00618,K00619,K00620,K11067,K14681,K14682,K22476,K22477,K22478,K00620	K22477	2.3.1.1,2.3.1.35
K00620	1	Prochlorococcus	2.3.1.35,2.3.1.1	K00618,K00619,K00620,K11067,K14681,K14682,K22476,K22477,K22478,K00620	K22478	2.3.1.1,2.3.1.35
K00627	1	Prochlorococcus	2.3.1.12	K00627	K00627	2.3.1.12
K00639	1	Prochlorococcus	2.3.1.29	K00639	K00639	2.3.1.29
K00640	1	Prochlorococcus	2.3.1.30	K00640,K19726,K23304	K00640	2.3.1.30
K00640	1	Prochlorococcus	2.3.1.30	K00640,K19726,K23304	K19726	2.3.1.30
K00640	1	Prochlorococcus	2.3.1.30	K00640,K19726,K23304	K23304	2.3.1.30
K00645	1	Prochlorococcus	2.3.1.39	K00645,K13935	K00645	2.3.1.39
K00645	1	Prochlorococcus	2.3.1.39	K00645,K13935	K13935	2.3.1.39
K00648	1	Prochlorococcus	2.3.1.180	K00648,K18473	K00648	2.3.1.180
K00648	1	Prochlorococcus	2.3.1.180	K00648,K18473	K18473	2.3.1.180
K00651	1	Prochlorococcus	2.3.1.46,2.3.1.31	K00641,K00651,K19726,K00641,K00651	K00641	2.3.1.31,2.3.1.46
K00651	1	Prochlorococcus	2.3.1.46,2.3.1.31	K00641,K00651,K19726,K00641,K00651	K00651	2.3.1.31,2.3.1.46
K00651	1	Prochlorococcus	2.3.1.46,2.3.1.31	K00641,K00651,K19726,K00641,K00651	K19726	2.3.1.31,2.3.1.46
K00652	1	Prochlorococcus	2.3.1.47	K00652	K00652	2.3.1.47
K00655	1	Prochlorococcus	2.3.1.51	K00655,K13509,K13513,K13517,K13519,K13523,K13699,K14674,K15781,K19007,K22831	K00655	2.3.1.51
K00655	1	Prochlorococcus	2.3.1.51	K00655,K13509,K13513,K13517,K13519,K13523,K13699,K14674,K15781,K19007,K22831	K13509	2.3.1.51
K00655	1	Prochlorococcus	2.3.1.51	K00655,K13509,K13513,K13517,K13519,K13523,K13699,K14674,K15781,K19007,K22831	K13513	2.3.1.51
K00655	1	Prochlorococcus	2.3.1.51	K00655,K13509,K13513,K13517,K13519,K13523,K13699,K14674,K15781,K19007,K22831	K13517	2.3.1.51
K00655	1	Prochlorococcus	2.3.1.51	K00655,K13509,K13513,K13517,K13519,K13523,K13699,K14674,K15781,K19007,K22831	K13519	2.3.1.51
K00655	1	Prochlorococcus	2.3.1.51	K00655,K13509,K13513,K13517,K13519,K13523,K13699,K14674,K15781,K19007,K22831	K13523	2.3.1.51
K00655	1	Prochlorococcus	2.3.1.51	K00655,K13509,K13513,K13517,K13519,K13523,K13699,K14674,K15781,K19007,K22831	K13699	2.3.1.51
K00655	1	Prochlorococcus	2.3.1.51	K00655,K13509,K13513,K13517,K13519,K13523,K13699,K14674,K15781,K19007,K22831	K14674	2.3.1.51
K00655	1	Prochlorococcus	2.3.1.51	K00655,K13509,K13513,K13517,K13519,K13523,K13699,K14674,K15781,K19007,K22831	K15781	2.3.1.51
K00655	1	Prochlorococcus	2.3.1.51	K00655,K13509,K13513,K13517,K13519,K13523,K13699,K14674,K15781,K19007,K22831	K19007	2.3.1.51
K00655	1	Prochlorococcus	2.3.1.51	K00655,K13509,K13513,K13517,K13519,K13523,K13699,K14674,K15781,K19007,K22831	K22831	2.3.1.51
K00677	1	Prochlorococcus	2.3.1.129	K00677	K00677	2.3.1.129
K00688	1	Prochlorococcus	2.4.1.1	K00688,K16153	K00688	2.4.1.1
K00688	1	Prochlorococcus	2.4.1.1	K00688,K16153	K16153	2.4.1.1
K00690	1	Prochlorococcus	2.4.1.7	K00690	K00690	2.4.1.7
K00696	1	Prochlorococcus	2.4.1.14	K00696	K00696	2.4.1.14
K00700	1	Prochlorococcus	2.4.1.18	K00700,K16149	K00700	2.4.1.18
K00700	1	Prochlorococcus	2.4.1.18	K00700,K16149	K16149	2.4.1.18
K00703	1	Prochlorococcus	2.4.1.21	K00703	K00703	2.4.1.21
K00705	1	Prochlorococcus	2.4.1.25	K00705,K01196,K22451	K00705	2.4.1.25
K00705	1	Prochlorococcus	2.4.1.25	K00705,K01196,K22451	K01196	2.4.1.25
K00705	1	Prochlorococcus	2.4.1.25	K00705,K01196,K22451	K22451	2.4.1.25
