KO	Quantification (KEGGCharter)	Taxon (KEGGCharter)	EC (ko-column)	KO (ko-column)	KO (KEGGCharter)	EC number (KEGGCharter)
K06045	1	Synechocystis	5.4.99.17,4.2.1.129	K06045	K06045	4.2.1.129,5.4.99.17
K06118	1	Synechocystis	3.13.1.1	K06118	K06118	3.13.1.1
K06133	1	Synechocystis			K06133	
K06147	1	Synechocystis			K06147	
K06148	1	Synechocystis			K06148	
K06153	1	Synechocystis	3.6.1.27	K01096,K06153,K19302	K01096,K06153,K19302	3.6.1.27
K06158	1	Synechocystis			K06158	
K06168	1	Synechocystis	2.8.4.3	K06168	K06168	2.8.4.3
K06173	1	Synechocystis	5.4.99.12	K06173	K06173	5.4.99.12
K06178	1	Synechocystis	5.4.99.22	K06178	K06178	5.4.99.22
K06180	1	Synechocystis	5.4.99.23	K06180	K06180	5.4.99.23
K06181	1	Synechocystis	5.4.99.20	K06181	K06181	5.4.99.20
K06182	1	Synechocystis	5.4.99.21	K06182	K06182	5.4.99.21
K06183	1	Synechocystis	5.4.99.19	K06183	K06183	5.4.99.19
K06187	1	Synechocystis			K06187	
K06188	1	Synechocystis			K06188	
K06196	1	Synechocystis			K06196	
K06199	1	Synechocystis			K06199	
K06203	1	Synechocystis			K06203	
K06206	1	Synechocystis			K06206	
K06207	1	Synechocystis			K06207	
K06208	1	Synechocystis	5.4.99.5	K01850,K04092,K04093,K04516,K06208,K06209,K13853,K14170,K14187	K01850,K04092,K04093,K04516,K06208,K06209,K13853,K14170,K14187	5.4.99.5
K06213	1	Synechocystis			K06213	
K06217	1	Synechocystis			K06217	
K06221	1	Synechocystis	1.1.1.346	K06221,K06222	K06221,K06222	1.1.1.346
K06223	1	Synechocystis	2.1.1.72	K00571,K03427,K06223,K07316,K07317,K07318,K07319,K13581,K24174,K26414,K27990	K00571,K03427,K06223,K07316,K07317,K07318,K07319,K13581,K24174,K26414,K27990	2.1.1.72
K06287	1	Synechocystis			K06287	
K06346	1	Synechocystis			K06346	
K06373	1	Synechocystis			K06373	
K06374	1	Synechocystis			K06374	
K06381	1	Synechocystis	4.2.2.29	K03642,K06381,K07082,K08304,K08305,K08306,K08307,K08308,K08309,K18691,K27245	K03642,K06381,K07082,K08304,K08305,K08306,K08307,K08308,K08309,K18691,K27245	4.2.2.29
K06402	1	Synechocystis			K06402	
K06442	1	Synechocystis	2.1.1.226,2.1.1.227	K06442	K06442	2.1.1.226,2.1.1.227
K06596	1	Synechocystis			K06596	
K06861	1	Synechocystis	7.5.2.5	K06861	K06861	7.5.2.5
K06864	1	Synechocystis	4.4.1.37,4.4.1.45	K06864	K06864	4.4.1.37,4.4.1.45
K06867	1	Synechocystis			K06867	
K06871	1	Synechocystis			K06871	
K06872	1	Synechocystis			K06872	
K06873	1	Synechocystis			K06873	
K06876	1	Synechocystis	4.1.99.13	K06876	K06876	4.1.99.13
K06883	1	Synechocystis			K06883	
K06886	1	Synechocystis			K06886	
K06890	1	Synechocystis			K06890	
K06891	1	Synechocystis			K06891	
K06898	1	Synechocystis	2.5.1.143	K06898	K06898	2.5.1.143
K06901	1	Synechocystis			K06901	
K06911	1	Synechocystis	1.13.11.24	K06911,K07155	K06911,K07155	1.13.11.24
K06915	1	Synechocystis			K06915	
K06920	1	Synechocystis	6.3.4.20	K06920	K06920	6.3.4.20
K06923	1	Synechocystis			K06923	
K06925	1	Synechocystis			K06925	
K06940	1	Synechocystis			K06940	
K06941	1	Synechocystis	2.1.1.192	K06941	K06941	2.1.1.192
K06942	1	Synechocystis			K06942	
K06946	1	Synechocystis			K06946	
K06949	1	Synechocystis	3.1.3.100	K06949,K22911	K06949,K22911	3.1.3.100
K06955	1	Synechocystis			K06955	
K06960	1	Synechocystis			K06960	
K06962	1	Synechocystis			K06962	
K06971	1	Synechocystis			K06971	
K06978	1	Synechocystis			K06978	
K06980	1	Synechocystis			K06980	
K06991	1	Synechocystis			K06991	
K06997	1	Synechocystis			K06997	
K06998	1	Synechocystis	5.3.3.17	K06998	K06998	5.3.3.17
K06999	1	Synechocystis			K06999	
K07001	1	Synechocystis			K07001	
K07007	1	Synechocystis	1.3.1.114	K07007	K07007	1.3.1.114
K07009	1	Synechocystis	6.3.5.13	K07009,K23393	K07009,K23393	6.3.5.13
K07011	1	Synechocystis			K07011	
