KO	Quantification (KEGGCharter)	Taxon (KEGGCharter)	EC (ko-column)	KO (ko-column)	KO (KEGGCharter)	EC number (KEGGCharter)
K08884	1	Nostoc	2.7.11.1	K00924,K02178,K02214,K02216,K02218,K02861,K03097,K03114,K03125,K04365,K04366,K04367,K04372,K04373,K04406,K04407,K04408,K04409,K04410,K04413,K04414,K04429,K04442,K04443,K04444,K04445,K04456,K04688,K04702,K04728,K04730,K04731,K04732,K04733,K04757,K04981,K04982,K05688,K05733,K05734,K05735,K05736,K05743,K05744,K06103,K06228,K06272,K06276,K06379,K06632,K06633,K06637,K06640,K06641,K06642,K06683,K07154,K07178,K07179,K07203,K07298,K08060,K08269,K08282,K08333,K08788,K08790,K08791,K08793,K08796,K08797,K08798,K08799,K08800,K08801,K08802,K08803,K08804,K08805,K08806,K08807,K08808,K08809,K08810,K08811,K08813,K08816,K08826,K08827,K08831,K08832,K08833,K08834,K08835,K08836,K08837,K08838,K08840,K08843,K08844,K08845,K08846,K08847,K08848,K08849,K08850,K08851,K08852,K08853,K08854,K08855,K08856,K08857,K08858,K08859,K08860,K08864,K08867,K08872,K08873,K08877,K08878,K08880,K08884,K08886,K08957,K08958,K08959,K08960,K11479,K11480,K11481,K11715,K11789,K11889,K11912,K12132,K12567,K12761,K12765,K12766,K12771,K12776,K13302,K13303,K13304,K13412,K13415,K13416,K13417,K13418,K13419,K13420,K13428,K13430,K13436,K14498,K14500,K14502,K14510,K14758,K14949,K15048,K15409,K15904,K16194,K16195,K16196,K16279,K16289,K16307,K16310,K16311,K16312,K16313,K16314,K16315,K16316,K16510,K17529,K17530,K17531,K17535,K17539,K17545,K17752,K18529,K18639,K18679,K18680,K19008,K19009,K19439,K19440,K19455,K19800,K19830,K19833,K19852,K20714,K20715,K20718,K20872,K20873,K20877,K20879,K20880,K21157,K21158,K21357,K21358,K21506,K21518,K21958,K22008,K22893,K23472,K23785,K26102,K26447,K26450,K26514,K27413,K27414,K27589,K27625,K27626,K28035,K28077,K28089	K00924,K02178,K02214,K02216,K02218,K02861,K03097,K03114,K03125,K04365,K04366,K04367,K04372,K04373,K04406,K04407,K04408,K04409,K04410,K04413,K04414,K04429,K04442,K04443,K04444,K04445,K04456,K04688,K04702,K04728,K04730,K04731,K04732,K04733,K04757,K04981,K04982,K05688,K05733,K05734,K05735,K05736,K05743,K05744,K06103,K06228,K06272,K06276,K06379,K06632,K06633,K06637,K06640,K06641,K06642,K06683,K07154,K07178,K07179,K07203,K07298,K08060,K08269,K08282,K08333,K08788,K08790,K08791,K08793,K08796,K08797,K08798,K08799,K08800,K08801,K08802,K08803,K08804,K08805,K08806,K08807,K08808,K08809,K08810,K08811,K08813,K08816,K08826,K08827,K08831,K08832,K08833,K08834,K08835,K08836,K08837,K08838,K08840,K08843,K08844,K08845,K08846,K08847,K08848,K08849,K08850,K08851,K08852,K08853,K08854,K08855,K08856,K08857,K08858,K08859,K08860,K08864,K08867,K08872,K08873,K08877,K08878,K08880,K08884,K08886,K08957,K08958,K08959,K08960,K11479,K11480,K11481,K11715,K11789,K11889,K11912,K12132,K12567,K12761,K12765,K12766,K12771,K12776,K13302,K13303,K13304,K13412,K13415,K13416,K13417,K13418,K13419,K13420,K13428,K13430,K13436,K14498,K14500,K14502,K14510,K14758,K14949,K15048,K15409,K15904,K16194,K16195,K16196,K16279,K16289,K16307,K16310,K16311,K16312,K16313,K16314,K16315,K16316,K16510,K17529,K17530,K17531,K17535,K17539,K17545,K17752,K18529,K18639,K18679,K18680,K19008,K19009,K19439,K19440,K19455,K19800,K19830,K19833,K19852,K20714,K20715,K20718,K20872,K20873,K20877,K20879,K20880,K21157,K21158,K21357,K21358,K21506,K21518,K21958,K22008,K22893,K23472,K23785,K26102,K26447,K26450,K26514,K27413,K27414,K27589,K27625,K27626,K28035,K28077,K28089	2.7.11.1
K08902	1	Nostoc			K08902	
K08903	1	Nostoc			K08903	
K08904	1	Nostoc			K08904	
K08906	1	Nostoc			K08906	
K08963	1	Nostoc	5.3.1.23	K08963	K08963	5.3.1.23
K08967	1	Nostoc	1.13.11.53,1.13.11.54	K08967	K08967	1.13.11.53,1.13.11.54
K08972	1	Nostoc			K08972	
K08973	1	Nostoc			K08973	
K08978	1	Nostoc			K08978	
K08994	1	Nostoc			K08994	
K08998	1	Nostoc			K08998	
K08999	1	Nostoc			K08999	
K09001	1	Nostoc	2.7.1.170	K09001	K09001	2.7.1.170
K09005	1	Nostoc			K09005	
K09012	1	Nostoc			K09012	
K09013	1	Nostoc			K09013	
K09014	1	Nostoc			K09014	
K09015	1	Nostoc			K09015	
K09022	1	Nostoc	3.5.99.10	K09022	K09022	3.5.99.10
K09118	1	Nostoc			K09118	
K09121	1	Nostoc	4.99.1.12	K09121	K09121	4.99.1.12
K09131	1	Nostoc			K09131	
K09181	1	Nostoc			K09181	
K09457	1	Nostoc	1.7.1.13	K06879,K09457	K06879,K09457	1.7.1.13
K09458	1	Nostoc	2.3.1.179	K09458	K09458	2.3.1.179
K09516	1	Nostoc	1.3.99.23	K09516	K09516	1.3.99.23
K09690	1	Nostoc			K09690	
K09691	1	Nostoc	7.5.2.14	K09691	K09691	7.5.2.14
K09702	1	Nostoc			K09702	
K09710	1	Nostoc			K09710	
K09744	1	Nostoc			K09744	
K09747	1	Nostoc			K09747	
K09748	1	Nostoc			K09748	
K09761	1	Nostoc	2.1.1.193	K09761	K09761	2.1.1.193
K09763	1	Nostoc			K09763	
K09767	1	Nostoc			K09767	
K09772	1	Nostoc			K09772	
K09774	1	Nostoc			K09774	
K09775	1	Nostoc			K09775	
K09777	1	Nostoc			K09777	
K09780	1	Nostoc			K09780	
K09792	1	Nostoc			K09792	
K09793	1	Nostoc			K09793	
K09800	1	Nostoc			K09800	
K09803	1	Nostoc			K09803	
K09807	1	Nostoc			K09807	
K09811	1	Nostoc			K09811	
K09812	1	Nostoc			K09812	
K09816	1	Nostoc			K09816	
K09818	1	Nostoc			K09818	
K09819	1	Nostoc			K09819	
K09820	1	Nostoc			K09820	
K09833	1	Nostoc	2.5.1.115,2.5.1.116	K09833	K09833	2.5.1.115,2.5.1.116
K09834	1	Nostoc	5.5.1.24	K09834	K09834	5.5.1.24
K09835	1	Nostoc	5.2.1.13	K09835	K09835	5.2.1.13
K09836	1	Nostoc	1.14.99.63,1.14.99.64	K09836,K09836,K23037	K09836,K23037	1.14.99.63,1.14.99.64
K09879	1	Nostoc	1.3.99.39,1.3.99.40	K09879,K25074,K09879	K09879,K25074	1.3.99.39,1.3.99.40
K09903	1	Nostoc	2.7.4.22	K09903	K09903	2.7.4.22
K09919	1	Nostoc			K09919	
K09931	1	Nostoc			K09931	
K09932	1	Nostoc			K09932	
K09933	1	Nostoc			K09933	
K09935	1	Nostoc			K09935	
K09936	1	Nostoc			K09936	
K09940	1	Nostoc			K09940	
K09942	1	Nostoc			K09942	
K09951	1	Nostoc			K09951	
K09962	1	Nostoc			K09962	
K09966	1	Nostoc			K09966	
K09969	1	Nostoc			K09969	
K09970	1	Nostoc			K09970	
K09971	1	Nostoc			K09971	
